https://www.opm.gov/policy-data-oversight/data-analysis-documentation/federal-employment-reports/reports-publications/federal-civilian-employment/
Federal Civilian Employment
Federal Civilian Employment
by Major Geographic Area, State, and Selected Agency Executive Branch and Selected Other Agencies* , Non-Postal, Non-Seasonal, Full-time, Permanent Employees and All Annuitants
September 2017
| Geographic Area | All Agencies* | Percent of Total | Department of Defense | Annuitants | Annuitants + Employees |
|---|---|---|---|---|---|
| Total, All Areas** | 1,869,986 | 100.00% | 676,840 | 2,579,861 | 4,449,847 |
| Unspecified | 1,124 | 0.06% | 270 | 10 | 1,134 |
| Outside of the United States and US Territories | 21,393 | 1.14% | 17,338 | 22,551 | 43,944 |
| United States*** | 1,847,469 | 98.80% | 659,232 | 2,557,300 | 4,404,769 |
| District of Columbia | 141,367 | 7.56% | 11,693 | 36,575 | 177,942 |
| Fifty States | 1,693,382 | 90.56% | 644,218 | 2,511,207 | 4,204,589 |
| US Territories | 12,720 | 0.68% | 3,321 | 9,518 | 22,238 |
| Washington, DC-MD-VA-WV, CBSA | 282,666 | 15.12% | 61,002 | 306,760 | 589,426 |
| District of Columbia | 141,367 | 7.56% | 11,693 | 36,575 | 177,942 |
| Maryland counties | 67,583 | 3.61% | 13,903 | 136,077 | 203,660 |
| Virginia counties and independent cities | 72,549 | 3.88% | 35,403 | 118,508 | 191,057 |
| West Virginia counties | 1,167 | 0.06% | 3 | 15,600 | 16,767 |
| Alabama | 37,386 | 2.00% | 22,056 | 57,897 | 95,283 |
| Alaska | 10,398 | 0.56% | 4,483 | 8,192 | 18,590 |
| Arizona | 38,087 | 2.04% | 8,212 | 57,006 | 95,093 |
| Arkansas | 12,557 | 0.67% | 3,124 | 24,432 | 36,989 |
| California | 152,466 | 8.15% | 57,795 | 209,915 | 362,381 |
| Colorado | 36,848 | 1.97% | 10,596 | 50,869 | 87,717 |
| Connecticut | 7,998 | 0.43% | 2,298 | 14,667 | 22,665 |
| Delaware | 3,039 | 0.16% | 1,250 | 10,823 | 13,862 |
| Florida | 89,504 | 4.79% | 29,793 | 178,212 | 267,716 |
| Georgia | 71,739 | 3.84% | 31,203 | 87,281 | 159,020 |
